time,cpu,mem
1627321488.06,0.0,1054646272
1627321488.16,50.0,1054650368
1627321488.26,0.0,1054650368
1627321488.36,0.0,1054650368
1627321488.46,0.0,1054650368
1627321488.56,0.0,1054650368
1627321488.66,0.0,1054650368
1627321488.76,0.0,1054650368
1627321488.86,0.0,1054650368
1627321488.96,0.0,1054650368
1627321489.06,0.0,1054650368
1627321489.16,0.0,1054650368
1627321489.26,20.0,1054650368
1627321489.36,0.0,1054650368
1627321489.46,0.0,1054650368
1627321489.56,0.0,1054650368
1627321489.66,0.0,1054650368
1627321489.77,0.0,1054650368
1627321489.87,0.0,1054650368
1627321489.97,0.0,1054650368
1627321490.07,0.0,1054650368
1627321490.17,0.0,1054650368
1627321490.27,0.0,1054650368
1627321490.37,0.0,1054650368
1627321490.47,9.6,1054650368
1627321490.57,0.0,1054650368
1627321490.67,0.0,1054650368
1627321490.77,10.4,1054650368
1627321490.87,0.0,1054650368
1627321490.97,0.0,1054650368
1627321491.07,0.0,1054650368
1627321491.17,0.0,1054650368
1627321491.27,29.2,1054650368
1627321491.37,9.6,1054650368
1627321491.47,0.0,1054650368
1627321491.57,0.0,1054650368
1627321491.67,0.0,1054650368
1627321491.77,0.0,1054650368
1627321491.87,0.0,1054650368
1627321491.98,0.0,1054650368
1627321492.08,0.0,1054650368
1627321492.18,0.0,1054650368
1627321492.28,10.0,1054642176
1627321492.38,0.0,1054642176
1627321492.48,0.0,1054642176
1627321492.58,0.0,1054642176
1627321492.68,0.0,1054642176
1627321492.78,0.0,1054642176
1627321492.88,110.0,1056215040
1627321492.98,129.6,1058017280
1627321493.08,129.6,1060290560
1627321493.18,123.2,1061138432
1627321493.28,100.0,1061138432
1627321493.38,107.2,1061138432
1627321493.48,100.0,1061138432
1627321493.58,100.0,1061138432
1627321493.68,100.0,1061138432
1627321493.78,110.0,1060909056
1627321493.88,100.0,1061433344
1627321493.98,107.2,1061433344
1627321494.08,102.4,1061433344
1627321494.18,100.0,1061433344
1627321494.28,100.0,1061433344
1627321494.38,100.0,1061433344
1627321494.48,100.0,1061203968
1627321494.58,107.2,1061171200
1627321494.68,100.0,1061171200
1627321494.78,100.0,1061171200
1627321494.89,100.0,1061105664
